instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,casual_daily,registered_daily,cnt_daily
30,2011-01-02,Springer,2011,January,6,0,Sunday,0,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.42,0.4242,0.77,0.2985,0,2,2,131,670,801
31,2011-01-02,Springer,2011,January,7,0,Sunday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.4,0.4091,0.76,0.194,0,1,1,131,670,801
32,2011-01-02,Springer,2011,January,8,0,Sunday,0,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.4,0.4091,0.71,0.2239,0,8,8,131,670,801
33,2011-01-02,Springer,2011,January,9,0,Sunday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.38,0.3939,0.76,0.2239,1,19,20,131,670,801
34,2011-01-02,Springer,2011,January,10,0,Sunday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.36,0.3485,0.81,0.2239,7,46,53,131,670,801
35,2011-01-02,Springer,2011,January,11,0,Sunday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.36,0.3333,0.71,0.2537,16,54,70,131,670,801
36,2011-01-02,Springer,2011,January,12,0,Sunday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.36,0.3333,0.66,0.2985,20,73,93,131,670,801
37,2011-01-02,Springer,2011,January,13,0,Sunday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.36,0.3485,0.66,0.1343,11,64,75,131,670,801
38,2011-01-02,Springer,2011,January,14,0,Sunday,0,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.36,0.3485,0.76,0.194,4,55,59,131,670,801
39,2011-01-02,Springer,2011,January,15,0,Sunday,0,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.34,0.3333,0.81,0.1642,19,55,74,131,670,801
40,2011-01-02,Springer,2011,January,16,0,Sunday,0,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.34,0.3333,0.71,0.1642,9,67,76,131,670,801
41,2011-01-02,Springer,2011,January,17,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.34,0.3333,0.57,0.194,7,58,65,131,670,801
42,2011-01-02,Springer,2011,January,18,0,Sunday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.36,0.3333,0.46,0.3284,10,43,53,131,670,801
43,2011-01-02,Springer,2011,January,19,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.32,0.2879,0.42,0.4478,1,29,30,131,670,801
44,2011-01-02,Springer,2011,January,20,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.3,0.2727,0.39,0.3582,5,17,22,131,670,801
45,2011-01-02,Springer,2011,January,21,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.26,0.2273,0.44,0.3284,11,20,31,131,670,801
46,2011-01-02,Springer,2011,January,22,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2121,0.44,0.2985,0,9,9,131,670,801
47,2011-01-02,Springer,2011,January,23,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2273,0.47,0.1642,0,8,8,131,670,801
48,2011-01-03,Springer,2011,January,0,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.197,0.44,0.3582,0,5,5,120,1229,1349
49,2011-01-03,Springer,2011,January,1,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.1667,0.44,0.4179,0,2,2,120,1229,1349
50,2011-01-03,Springer,2011,January,4,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.16,0.1364,0.47,0.3881,0,1,1,120,1229,1349
51,2011-01-03,Springer,2011,January,5,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.16,0.1364,0.47,0.2836,0,3,3,120,1229,1349
52,2011-01-03,Springer,2011,January,6,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.14,0.1061,0.5,0.3881,0,30,30,120,1229,1349
53,2011-01-03,Springer,2011,January,7,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.14,0.1364,0.5,0.194,1,63,64,120,1229,1349
54,2011-01-03,Springer,2011,January,8,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.14,0.1212,0.5,0.2836,1,153,154,120,1229,1349
55,2011-01-03,Springer,2011,January,9,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.16,0.1364,0.43,0.3881,7,81,88,120,1229,1349
56,2011-01-03,Springer,2011,January,10,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.18,0.1667,0.43,0.2537,11,33,44,120,1229,1349
57,2011-01-03,Springer,2011,January,11,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.1818,0.4,0.3284,10,41,51,120,1229,1349
58,2011-01-03,Springer,2011,January,12,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2121,0.35,0.2985,13,48,61,120,1229,1349
59,2011-01-03,Springer,2011,January,13,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2121,0.35,0.2836,8,53,61,120,1229,1349
60,2011-01-03,Springer,2011,January,14,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.26,0.2424,0.3,0.2836,11,66,77,120,1229,1349
61,2011-01-03,Springer,2011,January,15,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.26,0.2424,0.3,0.2537,14,58,72,120,1229,1349
62,2011-01-03,Springer,2011,January,16,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.26,0.2424,0.3,0.2537,9,67,76,120,1229,1349
63,2011-01-03,Springer,2011,January,17,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2273,0.3,0.2239,11,146,157,120,1229,1349
64,2011-01-03,Springer,2011,January,18,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2576,0.32,0.1045,9,148,157,120,1229,1349
65,2011-01-03,Springer,2011,January,19,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.2576,0.47,0.0,8,102,110,120,1229,1349
66,2011-01-03,Springer,2011,January,20,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.2273,0.47,0.1045,3,49,52,120,1229,1349
67,2011-01-03,Springer,2011,January,21,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.18,0.197,0.64,0.1343,3,49,52,120,1229,1349
68,2011-01-03,Springer,2011,January,22,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.14,0.1515,0.69,0.1343,0,20,20,120,1229,1349
69,2011-01-03,Springer,2011,January,23,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.18,0.2121,0.55,0.1045,1,11,12,120,1229,1349
70,2011-01-04,Springer,2011,January,0,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.16,0.1818,0.55,0.1045,0,5,5,108,1454,1562
71,2011-01-04,Springer,2011,January,1,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.16,0.1818,0.59,0.1045,0,2,2,108,1454,1562
72,2011-01-04,Springer,2011,January,2,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.14,0.1515,0.63,0.1343,0,1,1,108,1454,1562
73,2011-01-04,Springer,2011,January,4,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.14,0.1818,0.63,0.0896,0,2,2,108,1454,1562
74,2011-01-04,Springer,2011,January,5,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.12,0.1515,0.68,0.1045,0,4,4,108,1454,1562
75,2011-01-04,Springer,2011,January,6,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.12,0.1515,0.74,0.1045,0,36,36,108,1454,1562
76,2011-01-04,Springer,2011,January,7,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.12,0.1515,0.74,0.1343,2,92,94,108,1454,1562
77,2011-01-04,Springer,2011,January,8,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.14,0.1515,0.69,0.1642,2,177,179,108,1454,1562
78,2011-01-04,Springer,2011,January,9,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.16,0.1515,0.64,0.2239,2,98,100,108,1454,1562
79,2011-01-04,Springer,2011,January,10,0,Tuesday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.16,0.1364,0.69,0.3284,5,37,42,108,1454,1562
80,2011-01-04,Springer,2011,January,11,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2121,0.51,0.2985,7,50,57,108,1454,1562
81,2011-01-04,Springer,2011,January,12,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2273,0.51,0.1642,12,66,78,108,1454,1562
82,2011-01-04,Springer,2011,January,13,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2273,0.56,0.194,18,79,97,108,1454,1562
83,2011-01-04,Springer,2011,January,14,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.26,0.2576,0.52,0.2239,9,54,63,108,1454,1562
84,2011-01-04,Springer,2011,January,15,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.28,0.2727,0.52,0.2537,17,48,65,108,1454,1562
85,2011-01-04,Springer,2011,January,16,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.3,0.2879,0.49,0.2537,15,68,83,108,1454,1562
86,2011-01-04,Springer,2011,January,17,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.28,0.2727,0.48,0.2239,10,202,212,108,1454,1562
87,2011-01-04,Springer,2011,January,18,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.26,0.2576,0.48,0.194,3,179,182,108,1454,1562
88,2011-01-04,Springer,2011,January,19,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2576,0.48,0.1045,2,110,112,108,1454,1562
89,2011-01-04,Springer,2011,January,20,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2576,0.48,0.1045,1,53,54,108,1454,1562
90,2011-01-04,Springer,2011,January,21,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2727,0.64,0.0,0,48,48,108,1454,1562
91,2011-01-04,Springer,2011,January,22,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2576,0.64,0.0896,1,34,35,108,1454,1562
92,2011-01-04,Springer,2011,January,23,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.2273,0.69,0.0896,2,9,11,108,1454,1562
93,2011-01-05,Springer,2011,January,0,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.2576,0.64,0.0,0,6,6,82,1518,1600
94,2011-01-05,Springer,2011,January,1,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.16,0.197,0.74,0.0896,0,6,6,82,1518,1600
95,2011-01-05,Springer,2011,January,2,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.16,0.197,0.74,0.0896,0,2,2,82,1518,1600
96,2011-01-05,Springer,2011,January,4,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2273,0.48,0.2239,0,2,2,82,1518,1600
97,2011-01-05,Springer,2011,January,5,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2273,0.47,0.1642,0,3,3,82,1518,1600
98,2011-01-05,Springer,2011,January,6,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.197,0.47,0.2239,0,33,33,82,1518,1600
99,2011-01-05,Springer,2011,January,7,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.18,0.1818,0.43,0.194,1,87,88,82,1518,1600
100,2011-01-05,Springer,2011,January,8,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.1818,0.4,0.2985,3,192,195,82,1518,1600
101,2011-01-05,Springer,2011,January,9,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.197,0.37,0.3284,6,109,115,82,1518,1600
102,2011-01-05,Springer,2011,January,10,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.197,0.37,0.3284,4,53,57,82,1518,1600
103,2011-01-05,Springer,2011,January,11,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.26,0.2273,0.33,0.3284,12,34,46,82,1518,1600
104,2011-01-05,Springer,2011,January,12,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.26,0.2273,0.33,0.3284,5,74,79,82,1518,1600
105,2011-01-05,Springer,2011,January,13,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.28,0.2576,0.3,0.2985,6,65,71,82,1518,1600
106,2011-01-05,Springer,2011,January,14,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.3,0.2879,0.28,0.194,10,52,62,82,1518,1600
107,2011-01-05,Springer,2011,January,15,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.3,0.2879,0.28,0.194,7,55,62,82,1518,1600
108,2011-01-05,Springer,2011,January,16,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.3,0.3182,0.28,0.0896,4,85,89,82,1518,1600
109,2011-01-05,Springer,2011,January,17,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2273,0.38,0.194,4,186,190,82,1518,1600
110,2011-01-05,Springer,2011,January,18,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2424,0.38,0.1343,3,166,169,82,1518,1600
111,2011-01-05,Springer,2011,January,19,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2576,0.38,0.1045,5,127,132,82,1518,1600
112,2011-01-05,Springer,2011,January,20,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2273,0.47,0.1642,7,82,89,82,1518,1600
113,2011-01-05,Springer,2011,January,21,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.197,0.51,0.194,3,40,43,82,1518,1600
114,2011-01-05,Springer,2011,January,22,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.18,0.197,0.55,0.1343,1,41,42,82,1518,1600
115,2011-01-05,Springer,2011,January,23,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.2576,0.47,0.0,1,18,19,82,1518,1600
116,2011-01-06,Springer,2011,January,0,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.18,0.2424,0.55,0.0,0,11,11,88,1518,1606
117,2011-01-06,Springer,2011,January,1,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.16,0.2273,0.64,0.0,0,4,4,88,1518,1606
118,2011-01-06,Springer,2011,January,2,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.16,0.2273,0.64,0.0,0,2,2,88,1518,1606
119,2011-01-06,Springer,2011,January,4,0,Thursday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.16,0.197,0.64,0.0896,0,1,1,88,1518,1606
120,2011-01-06,Springer,2011,January,5,0,Thursday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.14,0.1818,0.69,0.0896,0,4,4,88,1518,1606
121,2011-01-06,Springer,2011,January,6,0,Thursday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.14,0.1667,0.63,0.1045,0,36,36,88,1518,1606
122,2011-01-06,Springer,2011,January,7,0,Thursday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.16,0.2273,0.59,0.0,0,95,95,88,1518,1606
123,2011-01-06,Springer,2011,January,8,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.16,0.2273,0.59,0.0,3,216,219,88,1518,1606
124,2011-01-06,Springer,2011,January,9,0,Thursday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.18,0.2424,0.51,0.0,6,116,122,88,1518,1606
125,2011-01-06,Springer,2011,January,10,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.2576,0.47,0.0,3,42,45,88,1518,1606
126,2011-01-06,Springer,2011,January,11,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2576,0.44,0.0896,2,57,59,88,1518,1606
127,2011-01-06,Springer,2011,January,12,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.26,0.2879,0.35,0.0,6,78,84,88,1518,1606
128,2011-01-06,Springer,2011,January,13,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.26,0.2727,0.35,0.1045,12,55,67,88,1518,1606
129,2011-01-06,Springer,2011,January,14,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.28,0.2727,0.36,0.1642,11,59,70,88,1518,1606
130,2011-01-06,Springer,2011,January,15,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.28,0.2727,0.36,0.0,8,54,62,88,1518,1606
131,2011-01-06,Springer,2011,January,16,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.26,0.2576,0.38,0.1642,12,74,86,88,1518,1606
132,2011-01-06,Springer,2011,January,17,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2273,0.51,0.1642,9,163,172,88,1518,1606
133,2011-01-06,Springer,2011,January,18,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2273,0.51,0.1343,5,158,163,88,1518,1606
134,2011-01-06,Springer,2011,January,19,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2576,0.55,0.0896,3,109,112,88,1518,1606
135,2011-01-06,Springer,2011,January,20,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.2121,0.51,0.1642,3,66,69,88,1518,1606
136,2011-01-06,Springer,2011,January,21,0,Thursday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.22,0.2121,0.55,0.2239,0,48,48,88,1518,1606
137,2011-01-06,Springer,2011,January,22,0,Thursday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.22,0.2121,0.51,0.2836,1,51,52,88,1518,1606
138,2011-01-06,Springer,2011,January,23,0,Thursday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.2,0.197,0.59,0.194,4,19,23,88,1518,1606
139,2011-01-07,Springer,2011,January,0,0,Friday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.2,0.197,0.64,0.194,4,13,17,148,1362,1510
140,2011-01-07,Springer,2011,January,1,0,Friday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.2,0.197,0.69,0.2239,2,5,7,148,1362,1510
141,2011-01-07,Springer,2011,January,2,0,Friday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.2,0.197,0.69,0.2239,0,1,1,148,1362,1510
142,2011-01-07,Springer,2011,January,4,0,Friday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.2,0.2121,0.69,0.1343,0,1,1,148,1362,1510
143,2011-01-07,Springer,2011,January,5,0,Friday,1,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.22,0.2727,0.55,0.0,0,5,5,148,1362,1510
144,2011-01-07,Springer,2011,January,6,0,Friday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.2,0.2576,0.69,0.0,8,26,34,148,1362,1510
145,2011-01-07,Springer,2011,January,7,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.2121,0.69,0.1343,8,76,84,148,1362,1510
146,2011-01-07,Springer,2011,January,8,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.197,0.51,0.2537,20,190,210,148,1362,1510
147,2011-01-07,Springer,2011,January,9,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.1818,0.47,0.2985,9,125,134,148,1362,1510
148,2011-01-07,Springer,2011,January,10,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.197,0.37,0.3284,16,47,63,148,1362,1510
149,2011-01-07,Springer,2011,January,11,0,Friday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.2,0.197,0.4,0.2239,19,48,67,148,1362,1510
150,2011-01-07,Springer,2011,January,12,0,Friday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.2,0.197,0.37,0.2537,9,50,59,148,1362,1510
151,2011-01-07,Springer,2011,January,13,0,Friday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.2,0.1818,0.37,0.2836,9,64,73,148,1362,1510
152,2011-01-07,Springer,2011,January,14,0,Friday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.2,0.197,0.4,0.2537,7,43,50,148,1362,1510
153,2011-01-07,Springer,2011,January,15,0,Friday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.2,0.2121,0.37,0.1642,9,63,72,148,1362,1510
